Lint_percentage Seed_index Lint_index Seed_oil_content
43.4 8.3 7.8 18.6
44 8.1 7.4 17.7
46.2 7.8 8.1 15.2
43.3 8.8 7.9 19.3
43.5 7.4 6.9 16.8
43.7 8.6 7.8 17.6
46.9 8.2 8.8 19.1
48.1 8.3 7.9 18.3
45.3 7.7 7.7 20
44.1 7.4 6.8 18.4
43.2 8.5 7.4 19.6
43.1 8.2 8.3 20.6
43.6 7.6 7.2 22.8
44.6 7.5 7.4 22.3
45.4 7.5 7.7 21.3
41.1 8.3 7.6 25.5
40.9 8.6 7.5 22.2
43.4 6.9 6.8 20.9
43.5 7.4 7 22.8
40.6 8 6.9 21
42.2 7.8 7.4 22.3
45.8 8.2 8.6 22.8
48.4 6.9 7.8 19.6
43.8 7.3 7.4 22.1
43.6 7.5 7.4 20.6
44 8.1 7.9 23.5
42.6 7.6 7.7 20.5
48.1 7.3 8.1 21.7
46.1 8.3 8.4 22
44.7 8.3 8.6 21.1
46.3 7.5 8 20.4
47.9 6.4 7 22
45.5 7.9 8.2 22.2
45.5 8.3 8.4 20.8
41.9 8.3 7.4 22.3
44.4 8.3 8.4 22.3
45.3 7.6 7.5 21.8
42.3 7.6 7 20.6
46.9 7.6 8.2 21.4
42.3 8 7.6 21
41.4 8.2 8 21.8
43.1 7.8 7.5 21.8
46.3 7.2 7.5 22.7
42 7.6 7 22.4
44.4 7.4 7.3 21.9
43.3 7.8 7.6 20.5
43.1 7.7 7.4 23.1
43.9 8.9 8.6 20.9
46.7 8 7.7 21.1
44.1 8.2 8 21
43 8.1 7.5 22.6
41.1 8 6.6 22.5
43.6 7.7 7.8 20.2
45 7.9 8.4 20.1
45.1 7.1 7.2 20.3
42.6 7.2 7.2 21.9
44.2 7.6 7.5 20.8
43.7 7.9 7.1 21.2
43.5 7.8 7.5 20.2
43.8 7.4 7.4 21
45.2 7.5 7.3 22
45 7.5 7.8 19.7
42 8.3 7.7 22
46.3 7.5 8.1 21.4
44.6 7.8 8 23.2
44.3 7.3 7.2 21.3
41.5 8 7.2 22.8
44.9 8 8.4 23.5
43.8 7.7 7.4 20.5
42.4 8.9 8.7 20.4
46.3 7.2 7.9 20.8
45.3 6.9 7.1 21.9
43 7.4 7.1 21.5
45.4 7.5 7.7 21.2
44.8 7.4 7.9 21.6
43.7 8.1 8 20.3
41.5 7.2 6.7 22.5
42.7 7.4 7 19.8
44.9 7.4 7.3 21.1
42.7 9 8.5 21.2
42.1 7.5 7.8 21.4
42.6 7.8 7.1 20.6
43.1 8.4 8 22.2
44.5 7.3 7.3 22.4
43.8 7.4 7.8 22.4
41.7 7.6 6.8 23.1
44.3 7.5 7.7 22.1
42.8 7.6 6.2 23.2
43.4 7.7 7.3 22.2
45.3 7.5 8.3 22.5
44.6 7.4 8 21
44.9 8.1 8.1 21.8
43.2 7.7 7.5 23
43.3 8.2 8.3 20.8
42.8 7.6 7.3 21.3
40.8 8.1 7.4 23.5
41.5 9.2 8.9 22.3
41.5 7.9 6.9 22.2
44.2 7.5 7.8 21.1
44.1 7.1 7.4 21.7
44.2 7.6 7.6 21.3
43 7.5 7.3 21.5
45 7.4 7.7 21.8
43.6 8 7.6 22.9
42.3 7.6 6.6 21.4
43.6 8.6 8.7 20.9
44 7.4 7.8 21.8
46 7.3 8.1 21.3
45 7.5 7.5 21.3
42.9 7.7 7.6 21.9
43.9 7.9 7.8 22.7
44.2 8.2 7.8 21.1
42.3 8.1 7.9 21
41.6 7.9 7.2 22.6
45.7 6.9 7.7 21.2
45.1 7.7 8.1 20.9
44.8 7.5 7.4 21.2
44 7.1 6.8 21.4
43.1 8.8 8.3 21.6
43.3 7.8 7.5 20.6
43.5 8.1 7.9 22.5
42.5 8 7.3 20.7
43 8.1 7.7 21.5
43.9 7.8 7.5 22.3
45.4 7.6 7.9 23.2
43.8 7.7 8.1 21.5
33.5 10.5 6.9 24.6
46.9 7.7 8.4 20.2
45 7.6 7.8 23.6
42.5 7.3 7.2 22.3
44.3 7 7.5 20.8
47.2 7 7.6 24
46.8 7.1 8.1 20.5
44.9 8 8.7 20.1
44.6 7.3 7.8 21.9
41.7 7.7 7.2 22.3
41.5 8.8 7.5 19.6
44.5 7.5 7.6 24.2
44.7 7.3 7.1 20.9
43.5 7.6 7.6 21.5
45.1 7.7 7.6 20.9
43.9 7.4 7.3 22.7
41.8 7.4 6.8 21.8
43.5 7.7 6.9 22.5
46.8 7.5 7.9 21.8
41.1 7.1 6.6 23.4
43.9 7.3 6.9 21.4
45.5 7.6 8.2 20.4
46.2 7.9 7.3 22.2
43.1 8.6 7.6 25
41.2 8.2 7.4 21.4
46.4 7.5 8 20.2
44.7 7.9 8.1 21.7
42.6 8.2 8.3 20.6
40.6 8.2 7.4 20.3
43.3 8 7.8 20.9
44.2 8.3 8.6 21.8
45.8 7.5 7.4 21.1
42.6 8.1 7.7 21.1
42.7 7.9 7.7 21
47.5 7.3 8.3 20.1
46.7 7.3 8.2 21.3
44.5 7.5 7.9 23
43.6 7.2 6.8 22.6
43.1 7.6 7.6 22
43.8 7.7 7.8 22.6
46.8 7.5 8.4 21.8
46.2 7.8 8.4 21.7
49.4 6.7 7.2 19.9
41 7.6 6.8 21.7
48.4 7.2 7.7 22
41.4 7.7 7.1 22.2
42.3 7.6 7.4 21.9
42.6 7.4 6.8 21.9
47.2 7.3 7.9 21.8
45.4 8 7.8 21.3
43.8 7.4 7.1 21.2
44.7 8.6 8.8 20.1
46 7.2 7.8 21.4
42.4 7.9 7.5 22.4
44.5 8 8.3 21.9
42.2 8 7.6 20.5
43.2 7.7 7.1 23.7
42.3 7.6 7 23.4
44.3 7.5 8.1 22.5
43.7 7.8 7.6 20.1
41.6 8 8 23.5
44.8 7.4 7.5 22.4
42.4 7.2 6.9 21.4
46.5 7.6 7.6 21.9
46 8 8.2 20.6
41.9 7.9 7.7 22
47.6 7.7 8.9 20.1
42 7.8 7.2 21.3
44.8 8 8.2 21.7
41.2 8 7.4 21.2
44.9 7.3 7.3 22.2
45.6 7.1 7.9 21.9
45.8 7.8 8.2 21.6
45.9 7.4 8.3 21.4
47.9 7.5 7.7 21.6
43.8 7.7 7.9 21.1
42.6 7.6 7.4 22.7
43.7 8.1 7.8 21.2
45.9 7.5 8 19.6
43.5 8.1 7.8 21.4
43.2 7.5 7.4 20.6
48.9 7.1 7.6 21.6
41.3 8.9 8.2 23.4
45.3 7.8 7.8 21.2
47.7 6.3 7.5 21
44.7 8.1 8.1 22
43.4 7.4 7.5 20.7
45.5 7.8 7.8 21.1
41.6 8.8 8.5 20
44.3 8.1 8 22.6
42.9 7 6.5 22.2
43.9 7.7 8.3 22.5
46.5 7.5 8.4 21
43.5 7.5 7.9 21.5
44.5 8.1 8.2 20.5
43.1 7.5 7.2 22.4
43.1 7.7 7.5 21.3
42 8.4 8.4 21
40.9 8 7.1 21.7
44.1 7.9 8.4 23.6
44.5 8.4 8.2 20.3
43.9 7.9 8 21.2
46.4 7.4 7.5 22.9
41.3 7.4 6.9 22
44.8 7.5 7.6 21.4
42.7 8.3 8.4 20.8
46.9 7.3 7.6 23.1
44.1 7.5 7.6 21.8
44.7 7.2 7.3 20.7
43.6 7.7 7.1 20.5
44.1 8.4 9.4 19.3
43.3 7.6 7.2 21.8
44.6 7.6 7.8 22.1
31.6 9.8 6.3 26.9
44.3 7.6 7.7 21.8
43.2 8.6 8.3 20.9
42.5 8.2 7.4 21.6
45.7 7 7.6 23
42.6 7.8 7.3 21.6
43.9 7.6 7.6 21.9
44.2 7.7 7.6 20.7
44.8 7.1 7.4 21.8
40.9 8.4 7.3 23.5
42 7.5 7.1 22.2
45.7 7.1 7.7 22
45.2 7.2 7.7 21
43.3 7.3 7.3 21.4
44.7 7.4 7.4 23
41.3 8.2 7.5 19.5
41.6 8.2 7.2 24.2
43.1 7.9 7.7 21.2
43.9 7.5 7.4 21.3
46.9 7.3 7.5 21.7
43.3 7.6 7.9 21.8
44.6 7.1 7.3 20.8
43.1 8.4 8.4 21
47.8 7.7 9.2 22.4
46.1 7.7 8.6 20.9
44.7 7.8 7.9 23.2
44.7 7.2 7.1 21.4
40.4 8.1 7.1 23.4
